Credits ,Player Type, Player Name, Team, IsPlaying, lineupOrder
7.5,Batter,Rinku Singh,Kolkata Knight Riders,PLAYING,5
9,Bowler,Varun Chakaravarthy,Kolkata Knight Riders,PLAYING,11
9,All-rounder,Sunil Narine,Kolkata Knight Riders,PLAYING,1
8.5,All-rounder,Andre Russell,Kolkata Knight Riders,PLAYING,6
8,Bowler,Harshit Rana,Kolkata Knight Riders,PLAYING,8
7.5,All-rounder,Ramandeep Singh,Kolkata Knight Riders,PLAYING,7
8,Batter,Venkatesh Iyer,Kolkata Knight Riders,PLAYING,4
8,Wicketkeeper/Batter,Quinton de Kock,Kolkata Knight Riders,PLAYING,2
7.5,Wicketkeeper/Batter,Rahmanullah Gurbaz,Kolkata Knight Riders,X_FACTOR_SUBSTITUTE,0
8,Bowler,Anrich Nortje,Kolkata Knight Riders,PLAYING,9
6.5,Batter,Angkrish Raghuvanshi,Kolkata Knight Riders,X_FACTOR_SUBSTITUTE,5
6.5,Bowler,Vaibhav Arora,Kolkata Knight Riders,PLAYING,10
6,Bowler,Mayank Markande,Kolkata Knight Riders,X_FACTOR_SUBSTITUTE,0
7,Batter,Rovman Powell,Kolkata Knight Riders,NOT PLAYING,0
7,Batter,Manish Pandey,Kolkata Knight Riders,X_FACTOR_SUBSTITUTE,0
6.5,Bowler,Spencer Johnson,Kolkata Knight Riders,NOT PLAYING,0
5.5,Batter,Luvnith Sisodia,Kolkata Knight Riders,NOT PLAYING,0
7.5,Batter,Ajinkya Rahane,Kolkata Knight Riders,PLAYING,3
6,All-rounder,Anukul Roy,Kolkata Knight Riders,X_FACTOR_SUBSTITUTE,0
7,All-rounder,Moeen Ali,Kolkata Knight Riders,NOT PLAYING,0
6,Bowler,Umran Malik,Kolkata Knight Riders,NOT PLAYING,0
9,Batter,Virat Kohli,Royal Challengers Bengaluru,PLAYING,2
8,Batter,Rajat Patidar,Royal Challengers Bengaluru,PLAYING,3
7,Bowler,Yash Dayal,Royal Challengers Bengaluru,X_FACTOR_SUBSTITUTE,0
8,All-rounder,Liam Livingstone,Royal Challengers Bengaluru,PLAYING,5
8.5,Wicketkeeper/Batter,Phil Salt,Royal Challengers Bengaluru,PLAYING,1
7.5,Batter/Wicketkeeper,Jitesh Sharma,Royal Challengers Bengaluru,PLAYING,4
8.5,Bowler,Josh Hazlewood,Royal Challengers Bengaluru,PLAYING,10
6.5,Bowler,Rasikh Dar,Royal Challengers Bengaluru,PLAYING,8
6,Bowler,Suyash Sharma,Royal Challengers Bengaluru,PLAYING,11
7.5,All-rounder,Krunal Pandya,Royal Challengers Bengaluru,PLAYING,7
8,Bowler,Bhuvneshwar Kumar,Royal Challengers Bengaluru,PLAYING,8
7,All-rounder,Swapnil Singh,Royal Challengers Bengaluru,X_FACTOR_SUBSTITUTE,0
7.5,Batter,Tim David,Royal Challengers Bengaluru,PLAYING,6
7,All-rounder,Romario Shepherd,Royal Challengers Bengaluru,NOT PLAYING,0
7.5,Bowler,Nuwan Thushara,Royal Challengers Bengaluru,NOT PLAYING,0
6.5,All-rounder,Manoj Bhandage,Royal Challengers Bengaluru,X_FACTOR_SUBSTITUTE,0
7,Batter,Jacob Bethell,Royal Challengers Bengaluru,NOT PLAYING,0
7,Batter,Devdutt Padikkal,Royal Challengers Bengaluru,X_FACTOR_SUBSTITUTE,0
5.5,Batter,Swastik Chikara,Royal Challengers Bengaluru,NOT PLAYING,0
6,All-rounder,Mohit Rathee,Royal Challengers Bengaluru,NOT PLAYING,0
5,Bowler,Abhinandan Singh,Royal Challengers Bengaluru,NOT PLAYING,0
7.5,Bowler,Lungi Ngidi,Royal Challengers Bengaluru,NOT PLAYING,0
