Player,Credits,Role,Team,Innings,Runs,Balls Faced,Fours,Sixes,Batting Average,Strike Rate,Boundary_Percentage,Innings_X,Balls Bowled,Runs_Conceded,Wickets,Bowling  Average,Economy Rate,Bowling  Strike_rate,TOTAL DREAM 11 POINTS,Dream11_Avg,Fantasy Performance Rating,Overall_Impact_Score
Ruturaj Gaikwad,9,Batter,Chennai Super Kings,65,2380,1739,217,91,41.75,136.8602645,59.41176471,0,0,0,0,0,0,0,3802,58.49230769,1.630694813,3257.274295
Ravindra Jadeja,8.5,All-rounder,Chennai Super Kings,184,2959,2281,215,107,27.4,129.7238053,50.76039202,211,3829,4864,160,30.4,7.62,23.93,8461,40.09952607,0.639578113,7800.427399
Matheesha Pathirana,8.5,Bowler,Chennai Super Kings,0,0,0,0,0,0,0,0,20,451,592,34,17.41,7.88,13.26,844,42.2,0.752764624,810.6
Shivam Dube,8,Batter,Chennai Super Kings,61,1502,1024,86,101,30.04,146.6796875,63.24900133,14,112,180,5,36,9.64,22.4,2579,42.27868852,0.757004848,2279.928906
MS Dhoni,7,Batter/Wicketkeeper,Chennai Super Kings,229,5243,3812,363,252,39.13,137.5393494,56.53251955,0,0,0,0,0,0,0,8215,35.87336245,0.411846308,7211.188089
Devon Conway,8,Batter/Wicketkeeper,Chennai Super Kings,22,924,654,99,30,48.63,141.2844037,62.33766234,0,0,0,0,0,0,0,1508,68.54545455,2.172420472,1305.46789
Rahul Tripathi,7.5,Batter,Chennai Super Kings,93,2236,1605,223,84,26.94,139.3146417,62.43291592,1,6,12,0,0,12,0,3630,39.03225806,0.582067119,3055.075388
Rachin Ravindra,8,Batter,Chennai Super Kings,10,222,138,22,12,22.2,160.8695652,72.07207207,2,12,7,0,0,3.5,0,392,39.2,0.591106091,339.6304347
Ravichandran Ashwin,8,All-rounder,Chennai Super Kings,94,800,675,61,28,13.33,118.5185185,51.5,208,4524,5369,180,29.83,7.12,25.13,5712,27.46153846,-0.041434734,5412.548148
Syed Khaleel Ahmed,7.5,Bowler,Chennai Super Kings,5,1,7,0,0,0.2,14.28571429,0,57,1276,1881,74,25.42,8.84,17.24,1845,32.36842105,0.222978413,1805.942857
Noor Ahmad,7.5,Bowler,Chennai Super Kings,7,13,18,2,0,3.25,72.22222222,61.53846154,23,492,659,24,27.46,8.04,20.5,621,27,-0.066305278,569.1888889
Vijay Shankar,6.5,Batter,Chennai Super Kings,60,1115,859,80,45,25.34,129.8020955,52.91479821,22,238,344,9,38.22,8.67,26.44,1930,32.16666667,0.212106641,1628.943365
Sam Curran,7.5,All-rounder,Chennai Super Kings,48,883,647,74,37,25.23,136.4760433,58.66364666,58,1181,1900,58,32.76,9.65,20.36,2853,49.18965517,1.129410426,2606.833462
Shaik Rasheed,5,Batter,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.521232078,0
Anshul Kamboj,6,Bowler,Chennai Super Kings,1,2,2,0,0,0,100,0,3,60,114,2,57,11.4,30,48,16,-0.659053233,-5
Mukesh Choudhary,6.5,Bowler,Chennai Super Kings,2,6,6,1,0,6,100,66.66666667,14,279,451,16,28.19,9.7,17.44,410,29.28571429,0.056863129,357.5
Deepak Hooda,7,Batter,Chennai Super Kings,96,1465,1131,96,61,18.31,129.5313882,51.19453925,33,373,531,10,53.1,8.54,37.3,2465,25.67708333,-0.137592201,2104.934837
Gurjapneet Singh,6,Bowler,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.521232078,0
Nathan Ellis,7,Bowler,Chennai Super Kings,5,19,25,0,1,4.75,76,31.57894737,16,354,508,18,28.22,8.61,19.67,475,29.6875,0.078513825,421.39
Ramakrishna Ghosh,5.5,All-rounder,Chennai Super Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.521232078,0
